cod_material	dscmat	codund_mda_mat	Estoque Necessário
90435	LUVA EMENDA COMPRES DISTR ALUM CAA 2AWG 370/114MM	UN	7
90440	MANILHA-SAPATILHA ACO-GALV 110X60X34MM 5000DAN	UN	1565
90448	GANCHO OLHAL ACO-GALV 130X88X13MM 50KN S/TRAVA	UN	1130
90449	GRAMPO ANCOR DIELETR URB SGL 15KV 14,0-16,5MM 400DAN	UN	486
90450	GRAMPO ANCOR DIELETR URB SGL 15KV 18,8-21,3MM 400DAN	UN	91
90451	GRAMPO ANCOR DIELETR URB SGL 15KV 21,8-24,3MM 400DAN	UN	82
90459	ALCA ESTRIBO NORM COMPR COBRE 100A 70X110MM 6,5MM 	UN	2
90460	CONECTOR GRAMPO LINHA VIVA COBR 2-1/0AWG/8-2/0AWG 100A	UN	323
90462	HASTE ATERRAMENTO CIRC S/RSC 2400MM 14,3MM 0.254MMM	UN	728
90463	HASTE ATERRAMENTO PERF L CHANF ACO-GALV 2400X25X25MM 5,0MM	UN	70
90464	CONEC DERIV CUNHA-RML COBR A 5,60-9,36/2,25-5,10MM VL	UN	182
90467	CONEC DERIV CUNHA-RML COBR G 5,60-8,33/1,36-1,73MM VL/AZ	UN	293
90471	CONEC DERIV CUNHA-RML COBR I 3,17-8,12/3,17-7,42MM CZ	UN	70
90472	CONEC DERIV CUNHA-RML COBR II 3,17-8,12/3,17-5,21MM VD	UN	955
90473	CONEC DERIV CUNHA-RML COBR III 2,54-6,55/1,27-4,65MM VM	UN	43
90474	CONEC DERIV CUNHA-RML COBR IV 2,54-6,55/1,27-4,65MM AZ	UN	278
90479	CONECTOR DERIV COMPR ALUM H1 4,10-8,40MM/4,10-8,40MM	UN	872
90480	CONECTOR DERIV COMPR ALUM H2 6,40-8,40MM/4,10-8,40MM	UN	348
90481	CONECTOR DERIV COMPR ALUM H3 8,30-11,90MM/8,30-11,90MM	UN	84
90487	CARTUCHO CONECTOR CUNHA METAL 14,8X5,7X7,0MM AZUL	UN	526
90488	CARTUCHO CONECTOR CUNHA METAL 14,8X5,7X7,0MM VERMELHO	UN	775
90489	CONECTOR ATERR CUNHA TRANSV COBRE CB/HST 25-35MM2 14,3MM	UN	12
90490	CONECTOR ATERR CUNHA COBRE CB/HST 16-25MM2 14,3MM	UN	813
90491	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 5,60-6,50MM 62X23MM	UN	816
90492	CONECTOR TERM PRE ILHOS SMP COBR 0,6KV 10MM2 26,9MM VRM	UN	24
90497	ELO FUSIVEL DISTRIBUICAO TIPO H 0,5A 500MM	UN	12
90498	ELO FUSIVEL DISTRIBUICAO TIPO H 1A 500MM	UN	46
90499	ELO FUSIVEL DISTRIBUICAO TIPO H 2A 500MM	UN	62
90500	ELO FUSIVEL DISTRIBUICAO TIPO H 3A 500MM	UN	240
90501	ELO FUSIVEL DISTRIBUICAO TIPO H 5A 500MM	UN	158
90514	HASTE ANCORA ESTAI ACO-GALV 2400MM M16 5000DAN	UN	5
90518	CHAPA ESTAI ACO-GALV 76X60X70MM 8,0MM 5000DAN	UN	5
90521	SUPORTE TIPO L POSTE ACO-GALV 15KV 295X195X50MM 200DAN	UN	12
90522	SUPORTE TIPO L CRUZETA ACO-GALV 205X85X38X8MM 200DAN	UN	358
90524	SUPORTE ISOLADOR PILAR ACO-GALV 15KV 305X90X35MM 210DAN	UN	38
90536	BRACO COMP TIPO J 15/36,2KV ACO-GALV 1650X550MM	UN	12
90537	ANEL AMAR ELASTOMERICO P/ESPACADOR 45X90X140MM CNZ	UN	7
90538	ANEL AMAR ELASTOMERICO P/ISOLADOR 15,0KV 45X110X160MM VRM	UN	552
90540	BRACO ANTIBALANCO PEAD 15,0KV 305MM CNZ/PRT 180/50DAN	UN	0
90542	BRACO COMP TIPO C 15KV ACO-GALV 580X365X362MM	UN	162
90544	BRACO COMP TIPO L 15KV ACO-GALV 354X241MM	UN	46
90547	CHAVE FUSIV DISTR PRC BSC 15,0KV 300A 1F MAN SEC	PC	304
90551	CHAVE SECC DISTR FACA 1F PORC 15KV 400A MAN SEC CENT	PC	58
90557	ALCA PREF DISTR ACO-ZINC 9,80-10,85MM 710MM PRT	UN	26
90562	CABO ALUM MULTIPLEX NI 0,6/1,0KV XLPE 3F 3X1X70MM2+70MM2	M	1794
90563	CABO ALUM MULTIPLEX NI 0,6/1,0KV XLPE 3F 3X1X35MM2+35MM2	M	4653
90564	CABO ALUM MULTIPLEX NI 0,6/1,0KV XLPE 3F 3X1X120MM2+70MM2	M	2610
90565	ALCA PREF DISTR LIGA-ALUM 10,41-11,69MM 545MM VRM	UN	17
90566	ALCA PREF DISTR LIGA-ALUM 14,68-15,63MM 710MM PRT	UN	7
90567	ESPACADOR LOSANGULAR PEAD 15KV 340X460MM TRAV CNZ/PRT	PC	637
90584	SECCIONADOR PREF ACO-GALV 3,26-4,11MM 650MM 450DAN VRD	UN	566
90587	CONECTOR DERIV PERF RDP CB/CB 15,0KV 70-185MM2/70-185MM2	PC	146
90588	ALCA ESTRIBO NORM PERF COBRE 400A 130X150MM 8,2MM 15KV	UN	0
90624	CABO ALUM PROT DUP XLPE/HDPE 1F 15,0KV 50MM2 BLOQ CNZ	M	1758
90625	CABO ALUM PROT DUP XLPE/HDPE 1F 15,0KV 120MM2 BLOQ CNZ	M	389
90639	ELO FUSIVEL DISTRIBUICAO TIPO K 6A 500MM AMARELA	UN	24
90641	ELO FUSIVEL DISTRIBUICAO TIPO K 10A 500MM VERMELHO	UN	67
90642	ELO FUSIVEL DISTRIBUICAO TIPO K 12A 500MM LARANJA	UN	19
90643	ELO FUSIVEL DISTRIBUICAO TIPO K 15A 500MM VERDE	UN	5
90645	ELO FUSIVEL DISTRIBUICAO TIPO K 25A 500MM BRANCO	UN	5
90660	FECHO P/ FITA AMARRACAO FE-2 46X24MM 3MM 760DAN	PC	113
90683	ALCA PREF DISTR ACO-ZINC 5,70-6,45MM 430MM LRJ	UN	730
90693	LACO PREF DISTR ACO-ZN TOPO 5,70-6,45MM 635MM LRJ COX	UN	26
90694	LACO PREF DISTR ACO-ZN TOPO 7,30-8,20MM 700MM VRM COX	UN	526
90695	LACO PREF DISTR ACO-ZN TOPO 9,15-10,25MM 750MM AMR COX	UN	70
90703	CABO ALUM NU 1F CAL/AAAC6201 1/0AWG	KG	322
90713	ALCA PREF DISTR LIGA-ALUM 10,20-11,20MM 445MM VRM	UN	331
90715	ALCA PREF DISTR LIGA-ALUM 13,50-14,50MM 545MM PRT	UN	490
90726	ALCA PREF SERV CONC LIGA-ALUM 8,70-9,70MM 325MM VRD	UN	182
90727	ALCA PREF SERV CONC LIGA-ALUM 9,80-10,50MM 355MM AMR	UN	655
90779	CABO ALUM MULTIPLEX NI 0,6/1,0KV XLPE 3F 3X1X16MM2+16MM2	M	43
90787	CONECTOR CUNHA ALUM CN-12 5,18-8,38/4,11-6,55MM VRM	UN	5
90790	CONECTOR CUNHA ALUM CN-06 9,25-14,53/6,55-14,53MM AZL	UN	43
90791	CONECTOR CUNHA ALUM CN-10 8,23-14,53/4,11-11,79MM AZL	UN	204
90793	CONECTOR CUNHA ALUM CN-04 15,24-17,37/6,55-14,27MM AZL	UN	17
90794	CONECTOR CUNHA ALUM CN-01 16,30-18,50/15,00-18,50MM AZL	UN	2
90796	CONECTOR CUNHA ALUM CN-02 15,24-17,37/11,68-17,37MM AZL	UN	101
90797	CONECTOR CUNHA ALUM CN-13 6,55-10,11/5,18-8,38MM VRM	UN	435
90798	CONECTOR CUNHA ALUM CN-15 10,40-14,53/10,40-14,53MM AZL	UN	77
90801	SUPORTE CHAVE INCL ACO-GALV 30GR 220X235X80MM 400DAN	UN	43
90826	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 7,70-8,60MM 85X23MM	UN	1152
90836	CABO ACO COBREADO 1F LCA IACS53% 3X2,59MM 16MM2	KG	904
90837	MASSA PARA CALAFETAR NA COR CINZA	KG	203
90888	CAPA PROT CONECTOR CUNHA 15KV 166X100MM SERIE AZUL	PC	360
91021	POSTE DIST PRFV BS/CIRC TP/QUAD 2P 11M 600DAN 383MM 178MM	PC	2
91022	POSTE DIST PRFV BS/CIRC TP/QUAD 2P 11M 300DAN 373MM 168MM	PC	8
91085	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 112,5KVA CL2 4TP	UN	17
