Codigo	Armazem	Descricao
POLES00607	07	PASTA SUSPENSA
POLES00610	01	PRANCHETA
POLES00610	06	PRANCHETA
POLES00610	07	PRANCHETA
POLES00610	10	PRANCHETA
POLES00849	01	CRACHA PERSONALIZADO
POLES00849	07	CRACHA PERSONALIZADO
PRGEN00115	01	CABO
PRGEN00115	07	CABO
PRTES00150	01	CLIPES ACC 30 C50 1X10
PRTES00150	07	CLIPES ACC 30 C50 1X10
PRTES00209	01	CHAVEIRO ORGANIZADOR WALEU C100 1X1
PRTES00209	07	CHAVEIRO ORGANIZADOR WALEU C100 1X1
PRTES00256	01	PAPEL TOALHA 2400FL ECONOMY CHEFF
PRTES00256	07	PAPEL TOALHA 2400FL ECONOMY CHEFF
PRTES00273	01	ESPONJA MULTIUSO 3M DUPLA FACE 100X71X20MM VERDE
PRTES00273	07	ESPONJA MULTIUSO 3M DUPLA FACE 100X71X20MM VERDE
PRTES00276	01	SABAO 500G SACHE BEM TE VI PERFUME DAS FLORES
PRTES00276	07	SABAO 500G SACHE BEM TE VI PERFUME DAS FLORES
PRTES00342	01	PORTA CRACHA RIGIDO VERTICAL TRANSPARENTE
PRTES00342	07	PORTA CRACHA RIGIDO VERTICAL TRANSPARENTE
PRTES00367	01	MASCARA PFF1 S VALVULA  DELTAPLUS
PRTES00367	07	MASCARA PFF1 S VALVULA  DELTAPLUS
QRTES00166	07	SACO DE LIXO PRETO 200L PCTE C100 UNID  REFORCADO
QRTES00189	01	TELA ODORIZADORA P MICTORIO
QRTES00189	07	TELA ODORIZADORA P MICTORIO
QRTES00583	01	PANO MULTI USO 300M LARANJA NOBRE
QRTES00583	07	PANO MULTI USO 300M LARANJA NOBRE
QRTES00606	01	PANO MULTI USO 300M AZUL BETTANIN
QRTES00606	07	PANO MULTI USO 300M AZUL BETTANIN
RZFEN00138	01	SELANTE
RZFEN00138	07	SELANTE
RZFEN00158	01	RECAPEAMENTO DE PNEUS
RZFEN00168	01	SOQUETES DIVERSOS
RZFEN00168	07	SOQUETES DIVERSOS
RZFEN00286	01	TUBO
RZFEN00286	07	TUBO
RZFEN00295	01	DESINFETANTE LAVANDA 5 L
RZFEN00295	07	DESINFETANTE LAVANDA 5 L
RZFEN00309	01	ARRUELA LISA 7/8
RZFEN00309	07	ARRUELA LISA 7/8
RZFEN00340	01	REGISTRO PVC
RZFEN00340	07	REGISTRO PVC
RZFEN00374	01	PINO ENGATE CARRETA AGRICOLA 1X200MM
RZFEN00424	01	JOGO DE CALCO
RZFEN00424	07	JOGO DE CALCO
RZFEN00449	01	GUARDANAPO DE PAPEL
RZFEN00449	07	GUARDANAPO DE PAPEL
RZFEN00451	01	LUSTRA MOVEIS 500ML
RZFEN00451	07	LUSTRA MOVEIS 500ML
RZFEN00452	01	PAPEL HIGIENICO 60MT
RZFEN00452	07	PAPEL HIGIENICO 60MT
RZFES00190	01	RADIO BAOFENG BF777S
RZFES00190	06	RADIO BAOFENG BF777S
RZFES00234	01	MARRETA 5KG C CABO DE MADEIRA
RZFES00234	06	MARRETA 5KG C CABO DE MADEIRA
RZFES00234	10	MARRETA 5KG C CABO DE MADEIRA
RZFES00243	01	ALICATE BICO MEIA CANA 06
RZFES00243	14	ALICATE BICO MEIA CANA 06
RZFES00328	01	CHAVE FENDA TRAMONTINA 516 X 6
RZFES00328	07	CHAVE FENDA TRAMONTINA 516 X 6
RZFES00340	07	BROCA ACO RAPIDO 15MM
RZFES00344	01	BROCA ACO RAPIDO 3/16 MAX
RZFES00359	01	BROCA SDS EXTREME 13X160N
