Codigo	Armazem	Descricao
ECOEN00015	01	BOMBA CENTRIF 4CV
ECOEN00015	07	BOMBA CENTRIF 4CV
ECOEN00663	01	PORTA CRACHA RIGIDO
ECOES00112	07	CP32 - BOTAO ACIONADOR DE EMERGENCIA, VERDE - VAULT - UF PE
ENGEN00080	01	ARMACAO MOP PO METALICA PROFISSIONAL BRALIMPIA 120CM (00076)
ENGEN00080	07	ARMACAO MOP PO METALICA PROFISSIONAL BRALIMPIA 120CM (00076)
ENGEN00086	01	CABO DE ALUMINIO 7/8POL C/MANOPLA MOP PO LDG 140CM (04823)
ENGEN00086	07	CABO DE ALUMINIO 7/8POL C/MANOPLA MOP PO LDG 140CM (04823)
FRTEN00024	01	CAIXA ARQUIVO MORTO PAPELCO 25X25X37 CM MONTADA
FRTEN00024	07	CAIXA ARQUIVO MORTO PAPELCO 25X25X37 CM MONTADA
FRTEN00037	01	CARIMBO MULTIFUNCIONAL
FRTEN00037	07	CARIMBO MULTIFUNCIONAL
FRTEN00093	01	SABONETE LIQUIDO 5 LITROS
FRTEN00093	07	SABONETE LIQUIDO 5 LITROS
FRTES00028	01	CABO PARALELO 2 X 15 ROLO 100M
FRTES00171	01	LAMPADA LED 9W
FRTES00171	07	LAMPADA LED 9W
GEREN00010	01	ABRACADEIRA NYLON T18R
GEREN00010	07	ABRACADEIRA NYLON T18R
GEREN00013	01	ABRACADEIRA NYLON T50R
GEREN00013	07	ABRACADEIRA NYLON T50R
GEREN00023	01	ABRACADEIRA U 1
GEREN00023	07	ABRACADEIRA U 1
GEREN00030	01	TUBO 6
GEREN00030	07	TUBO 6
GEREN00045	01	ADAPTADOR CURTO SOLD 32X1
GEREN00045	07	ADAPTADOR CURTO SOLD 32X1
GEREN00048	01	ADAPTADOR CURTO SOLD 50MM
GEREN00048	07	ADAPTADOR CURTO SOLD 50MM
GEREN00106	07	AREIA  OBRA
GEREN00139	01	BUCHA 2POL P/ELETRODUTO ALUM
GEREN00139	07	BUCHA 2POL P/ELETRODUTO ALUM
GEREN00142	01	BUCHA NYLON S10 C/ PARAFUSO
GEREN00142	07	BUCHA NYLON S10 C/ PARAFUSO
GEREN00146	01	BUCHA REDUCAO 1/2X1/4
GEREN00146	07	BUCHA REDUCAO 1/2X1/4
GEREN00149	01	BUCHA
GEREN00149	07	BUCHA
GEREN00159	07	BUCHA REDUCAO ROSCA 1X1/2
GEREN00164	01	BUCHA REDUCAO SOLD CURTA 32X25
GEREN00164	07	BUCHA REDUCAO SOLD CURTA 32X25
GEREN00166	01	BUCHA REDUCAO SOLD CURTA 50X40
GEREN00166	07	BUCHA REDUCAO SOLD CURTA 50X40
GEREN00180	07	BLOCO CONTATOR NA SIEME
GEREN00189	01	BOLAS DE BORRACHA
GEREN00189	07	BOLAS DE BORRACHA
GEREN00191	01	BOTON CIPA SEGURANCA F VERDE 20MM CS4.20
GEREN00191	07	BOTON CIPA SEGURANCA F VERDE 20MM CS4.20
GEREN00200	01	BROCA 12MM
GEREN00200	07	BROCA 12MM
GEREN00201	07	BROCA 08X160MM SDS PLUS
GEREN00209	01	BUCHA SOLDAVEL CURTA 60X50MM TIGRE
GEREN00209	07	BUCHA SOLDAVEL CURTA 60X50MM TIGRE
GEREN00212	01	CABO 1MM
GEREN00212	07	CABO 1MM
GEREN00250	01	CABO PP 3X4,0MM
GEREN00250	07	CABO PP 3X4,0MM
GEREN00281	01	CANTONEIRA
GEREN00281	07	CANTONEIRA
GEREN00288	01	CAP ESGOTO 40
GEREN00288	07	CAP ESGOTO 40
GEREN00299	01	CABO FLEX.2 5MM 450 750V
GEREN00302	01	CABO FLEX 750V 1,50MM
GEREN00304	01	CABO FLEXIVEL 2,5MM
GEREN00304	07	CABO FLEXIVEL 2,5MM
GEREN00317	01	CABO PP 4 X 6 MM FLEX
GEREN00317	07	CABO PP 4 X 6 MM FLEX
GEREN00318	01	CABO PP 3X2,50MM
GEREN00318	07	CABO PP 3X2,50MM
GEREN00326	01	CHAPA 16X820X1160MM
GEREN00326	07	CHAPA 16X820X1160MM
GEREN00332	01	CHAVE DE SETA
GEREN00332	07	CHAVE DE SETA
GEREN00341	01	CHAVE PHILLIPS 1/8 X 4
GEREN00341	07	CHAVE PHILLIPS 1/8 X 4
GEREN00368	01	COLA  GEORGE FISCHER
GEREN00368	07	COLA  GEORGE FISCHER
GEREN00429	07	CONECTOR  BATERIA
GEREN00447	07	HASTE DE ATERRAMENTO S CONECTOR 1/2 2,00 MTS
GEREN00464	01	COPO P AGUA 180ML  C/ 2500 UND COPOBRAS
GEREN00464	07	COPO P AGUA 180ML  C/ 2500 UND COPOBRAS
GEREN00514	01	CAIXA 4 X 2  REDE
GEREN00514	07	CAIXA 4 X 2  REDE
GEREN00519	01	CAIXA METAL(QUADRO ETETRICO)
GEREN00519	07	CAIXA METAL(QUADRO ETETRICO)
GEREN00578	01	ELETRODUTO F G  1 1/2  GALV FOGO
GEREN00578	07	ELETRODUTO F G  1 1/2  GALV FOGO
GEREN00597	01	ENGATE RAPIDO
GEREN00597	07	ENGATE RAPIDO
GEREN00598	01	ESMALTE LUKSCOLOR BASE AGUA 3 6L BRANCO
GEREN00598	07	ESMALTE LUKSCOLOR BASE AGUA 3 6L BRANCO
GEREN00613	07	FERRO DE SOLDA 110V - 40W
GEREN00636	01	FLANGE 32MM
GEREN00636	07	FLANGE 32MM
GEREN00663	01	TINTA ESMALTE SINTETICO CORES PADRAO 3,6L
GEREN00663	07	TINTA ESMALTE SINTETICO CORES PADRAO 3,6L
GEREN00667	01	GRAMPO TIPO U 4
GEREN00667	07	GRAMPO TIPO U 4
GEREN00669	01	GRAMPO U 2 COM PORCAS
GEREN00669	07	GRAMPO U 2 COM PORCAS
GEREN00694	07	JOELHO SOLD 25MM
GEREN00701	01	JOELHO SOLD 25X90 TIGRE
GEREN00701	07	JOELHO SOLD 25X90 TIGRE
GEREN00714	07	JOELHO SOLDAVEL 90 50MM
GEREN00717	07	JOELHO SOLDAVEL 45 50MM
GEREN00730	07	LAMPADA VEICULAR
GEREN00733	01	LIXA FERRO 120
GEREN00735	01	LIXA FERRO 80
GEREN00735	07	LIXA FERRO 80
GEREN00745	01	LUVA PVC PRETA 1 1/2
GEREN00745	07	LUVA PVC PRETA 1 1/2
GEREN00765	01	LUVA PVC 1
GEREN00765	07	LUVA PVC 1
GEREN00844	01	METALON
GEREN00844	07	METALON
GEREN00847	01	MULTIMETRO MINIPA ET-1109
GEREN00875	07	PARAFUSO E BUCHA S8
GEREN00876	01	PARAFUSO SEXTAVADO1/4
GEREN00876	07	PARAFUSO SEXTAVADO1/4
GEREN00886	01	PINCEL 2
GEREN00886	07	PINCEL 2
GEREN00977	07	REBITE 412MM
GEREN01003	01	REGISTRO ESFERA SOLDA 60MM
GEREN01004	01	REGISTRO ESFERA VS SOLD 25MM
GEREN01004	07	REGISTRO ESFERA VS SOLD 25MM
GEREN01038	01	ROLAMENTO
GEREN01038	07	ROLAMENTO
GEREN01057	01	SERRA COPO 3/4
GEREN01057	07	SERRA COPO 3/4
GEREN01081	01	TARUGO NYLON
GEREN01108	01	TE SOLDAVEL 60MM TIGRE
GEREN01108	07	TE SOLDAVEL 60MM TIGRE
GEREN01114	01	TELA MALHA Q159
GEREN01114	07	TELA MALHA Q159
GEREN01136	01	TINTA ACRILICA
GEREN01136	07	TINTA ACRILICA
GEREN01167	01	TOMADA 2P UNIVERSAL
GEREN01167	07	TOMADA 2P UNIVERSAL
GEREN01178	01	TRENA 5MTS
GEREN01178	07	TRENA 5MTS
GEREN01179	01	TRINCHA 2
GEREN01179	07	TRINCHA 2
GEREN01181	01	TRINCHA 3
GEREN01181	07	TRINCHA 3
GEREN01190	01	TUBO PVC SOLD MARROM CLASSE12 20MM
GEREN01190	07	TUBO PVC SOLD MARROM CLASSE12 20MM
GEREN01327	01	ZARCAO 3,6L
GEREN01327	07	ZARCAO 3,6L
GEREN01329	01	CONSULTORIA E ASSESSORIA JURIDICA
GEREN01332	01	AGUA ESGOTO
GEREN01333	01	ENERGIA ELETRICA
GEREN01354	01	SERVICOS PRESTADOS - PJ
GEREN01369	01	CANETA ESFEROGRAFICA AZUL
GEREN01369	07	CANETA ESFEROGRAFICA AZUL
GEREN01370	01	CANETA ESFEROGRAFICA PRETA
GEREN01370	07	CANETA ESFEROGRAFICA PRETA
GEREN01371	01	CANETA ESFEROGRAFICA VERMELHA
GEREN01371	07	CANETA ESFEROGRAFICA VERMELHA
GEREN01381	01	FITA  COLOR 300 IMPRESSOES  YMCKT-KT IMPRESSORAS P4000/P5500
GEREN01381	07	FITA  COLOR 300 IMPRESSOES  YMCKT-KT IMPRESSORAS P4000/P5500
GEREN01398	01	GRAMPEADOR 26/6
GEREN01398	07	GRAMPEADOR 26/6
GEREN01554	01	ROLO LA
GEREN01554	07	ROLO LA
GEREN01599	01	PARAFUSO
GEREN01599	07	PARAFUSO
GEREN01633	07	TELA POP 15X15
GEREN01770	01	PINCEL ATOMICO PRETO
GEREN01770	07	PINCEL ATOMICO PRETO
GEREN01771	01	ESTILETE LAMINA 18 MM
GEREN01771	07	ESTILETE LAMINA 18 MM
GEREN01813	01	CAPACETE SEG ALTO IMPACTO MSA (COMPLETO) - CINZA
GEREN01813	07	CAPACETE SEG ALTO IMPACTO MSA (COMPLETO) - CINZA
GEREN01820	01	CAPA CHUVA PVC AMARELA TG - 28449 BRASCAMP
GEREN01865	01	COPO PLASTICO DESC 200ML C/2500 SUPER PREMIUN ALTACOPPO
GEREN01866	01	PRANCHETA EM MADEIRA A4
GEREN01866	07	PRANCHETA EM MADEIRA A4
GEREN01886	01	CESTA BASICA
GEREN01890	01	CAIXA PLAST TIPO BOX P/ ARQUIVO AZL
GEREN01890	07	CAIXA PLAST TIPO BOX P/ ARQUIVO AZL
GEREN01903	01	LUVA LATEX S/FOR ANTI-ALERGICA TM
GEREN01903	07	LUVA LATEX S/FOR ANTI-ALERGICA TM
GEREN01904	01	LUVA LATEX S/FOR ANTI-ALERGICA TG
GEREN01904	07	LUVA LATEX S/FOR ANTI-ALERGICA TG
GEREN01936	01	PASTA SANFONADA OFICIO 31DIV 1029 ACP
GEREN01936	07	PASTA SANFONADA OFICIO 31DIV 1029 ACP
GEREN01958	01	CAIXA DE ARQUIVO MORTO DE PLASTICO
GEREN01958	07	CAIXA DE ARQUIVO MORTO DE PLASTICO
GEREN02015	01	TERMINAL DA MANGUEIRA
GEREN02015	07	TERMINAL DA MANGUEIRA
GEREN02092	01	COLHER DE PEDREIRO   8
GEREN02092	06	COLHER DE PEDREIRO   8
GEREN02092	10	COLHER DE PEDREIRO   8
GEREN02104	01	MULTA DE TRANSITO
GEREN02107	01	MANUTENCAO DE VEICULO (FROTA PROPRIA)
GEREN02129	01	ASSISTENCIA ODONTOLOGICA
GEREN02137	07	LAMPADA H3 12V 55W REF12336
GEREN02157	01	ESTILETE BICO DE PATO EASY SAFE
GEREN02157	07	ESTILETE BICO DE PATO EASY SAFE
GEREN02171	01	TAXA AMBIENTAL
GEREN02171	07	TAXA AMBIENTAL
GEREN02183	01	CAMARA DE AR
GEREN02183	07	CAMARA DE AR
GEREN02214	01	SERVICO DE CHAVEIRO
GEREN02218	01	CONSULTORIA E ASSESSORIA ADMINISTRATIVA
GEREN02320	01	TE ESGOTO 90 200MM
GEREN02320	07	TE ESGOTO 90 200MM
GEREN02333	01	GINASTICA LABORAL
GEREN02478	01	FECHADURA INOX
GEREN02478	07	FECHADURA INOX
GEREN02485	01	ARGAMASSA COLANTE 20KG
GEREN02485	07	ARGAMASSA COLANTE 20KG
GEREN02495	01	TINTA CONCRETO  18L
GEREN02495	07	TINTA CONCRETO  18L
GEREN02598	07	ASSENTO UNIVERSAL PARA VASO SANITARIO
GEREN02606	01	NIVEL DE MADEIRA
GEREN02606	06	NIVEL DE MADEIRA
GEREN02606	10	NIVEL DE MADEIRA
GEREN02608	01	ENGATE FLEX 40CM
GEREN02608	07	ENGATE FLEX 40CM
GEREN02609	01	INTERRUPTOR SIMPLES 1 TECLA
GEREN02609	07	INTERRUPTOR SIMPLES 1 TECLA
GEREN02626	01	TELA MOSQUETEIRO
GEREN02651	01	PARAFUSO PHILIPS 4 5
GEREN02651	07	PARAFUSO PHILIPS 4 5
GEREN02674	01	CARIMBO AUTOMATICO
GEREN02674	07	CARIMBO AUTOMATICO
GEREN02723	01	FILTRO DE LINHA
GEREN02723	07	FILTRO DE LINHA
GEREN02742	01	CORDA 10MM
GEREN02742	07	CORDA 10MM
GEREN02746	01	MULTI BENEFICIO
GEREN02751	01	CABO P/ ENXADA
GEREN02771	01	LUVA PVC CANO MEDIO 36CM - 32158 VOLK
GEREN02771	07	LUVA PVC CANO MEDIO 36CM - 32158 VOLK
GEREN02816	07	FITA ADESIVA DUPLA FACE TRANSPARENTE
GEREN02821	01	RODO 800MM A5 CONVENCIONAL
GEREN02821	07	RODO 800MM A5 CONVENCIONAL
GEREN02855	01	BICO TORNEIRA ZAMAC 1/2 X 1/2
GEREN02855	07	BICO TORNEIRA ZAMAC 1/2 X 1/2
GEREN02858	01	VERNIZ
GEREN02858	07	VERNIZ
GEREN02859	01	ANEL DE VEDACAO 100MM
GEREN02859	07	ANEL DE VEDACAO 100MM
GEREN02885	01	VISOR PLASTICO P/ PASTA SUSPENSA
GEREN02885	07	VISOR PLASTICO P/ PASTA SUSPENSA
GEREN02903	01	PNEU TRAS. NXR 160 90 90 17
GEREN02903	07	PNEU TRAS. NXR 160 90 90 17
GEREN02906	01	LUVA NEOPRENE TM CA6657
GEREN02906	07	LUVA NEOPRENE TM CA6657
GEREN02914	01	LUVA VAQUETA CA5278
GEREN02914	07	LUVA VAQUETA CA5278
GEREN02915	01	ELETRODO 2,5MM
GEREN02915	07	ELETRODO 2,5MM
GEREN02930	01	CLIPS P/ CABO DE ACO
GEREN02930	07	CLIPS P/ CABO DE ACO
GEREN02932	01	TRENA 10M
GEREN02932	07	TRENA 10M
GEREN02933	07	PORCA 5/16
GEREN02939	07	TINTA SPRAY 350ML
GEREN02940	07	TINTA SPRAY 200ML
GEREN02947	01	DISCO FLAP 4 1/2
GEREN02947	07	DISCO FLAP 4 1/2
GEREN02997	07	PULVERIZADOR 01 LT
GEREN03041	01	TUBO CONEXAO
GEREN03041	07	TUBO CONEXAO
GEREN03043	01	ASSENTO SANITARIO POLIESTER
GEREN03043	07	ASSENTO SANITARIO POLIESTER
GEREN03075	01	PAPEL TOALHA ROLO BRANCO SCOTT 270MTS C/ 12 BOBINAS
GEREN03075	07	PAPEL TOALHA ROLO BRANCO SCOTT 270MTS C/ 12 BOBINAS
GEREN03080	01	CANALETA 50X20MM C/ 2 METROS
GEREN03080	07	CANALETA 50X20MM C/ 2 METROS
GEREN03109	01	QUADRO AVISO
GEREN03109	07	QUADRO AVISO
GEREN03119	01	ESPATULA DE METAL 80MM (00816)
GEREN03119	07	ESPATULA DE METAL 80MM (00816)
GEREN03130	01	FECHADURA TUBULAR VOUGA CR
GEREN03130	07	FECHADURA TUBULAR VOUGA CR
GEREN03132	01	FECHADURA EXTERNA
GEREN03132	07	FECHADURA EXTERNA
GEREN03161	01	PEDRA BRITA
GEREN03161	07	PEDRA BRITA
GEREN03180	01	POCHETE DE CINTURA C/ COLDRE
GEREN03206	01	PNEU P/ 125CC 90/90 18  DIANT
GEREN03206	07	PNEU P/ 125CC 90/90 18  DIANT
GEREN03238	01	PAPEL SULFITE A4 75G 210MMX297MM PCT 500 FL
GEREN03238	07	PAPEL SULFITE A4 75G 210MMX297MM PCT 500 FL
GEREN03305	01	BOTINA DE SEGURANCA MARLUVAS 50B22 S/ ACO C/ CADARCO T46
GEREN03361	01	APAGADOR P/ QUADRO BRANCO
GEREN03361	07	APAGADOR P/ QUADRO BRANCO
GEREN03376	01	NIPEL ROSCAVEL 3/4
GEREN03376	07	NIPEL ROSCAVEL 3/4
GEREN03446	01	ESPONJA MULTIUSO
GEREN03528	01	TRAPO DE MALHA
GEREN03528	07	TRAPO DE MALHA
GEREN03588	01	IPTU
GEREN03588	07	IPTU
GEREN03594	01	PREGO 16X24
GEREN03594	07	PREGO 16X24
GEREN03646	01	MACHADO COM CABO DE MADEIRA
GEREN03662	01	LICENCAS E DIREITOS DE USO SOFTWARE
GEREN03664	07	PULVERIZADOR MANUAL MARCA GUARANY 20 LT
GEREN03775	01	LUVA CORRER PVC
GEREN03775	07	LUVA CORRER PVC
GEREN03785	01	PASTA EM PVC TIPO MALOTE C/ ZIPER
GEREN03785	07	PASTA EM PVC TIPO MALOTE C/ ZIPER
GEREN03814	01	PARAFUSO MADEIRA 3,2X45MM
GEREN03814	07	PARAFUSO MADEIRA 3,2X45MM
GEREN03860	01	TOMADA FEMEA 2P + T
GEREN03860	07	TOMADA FEMEA 2P + T
GEREN04002	07	SABONETEIRA NEW SOFT CARE LINE RECARREGAVEL 0,43KG DIVERSEY
GEREN04011	01	PNEU P/ CARRO DE MAO C/ CAMARA DE AR
GEREN04077	01	DISCO DIAMANTADO TURBO P/ CORTE DE GRANITO
GEREN04077	07	DISCO DIAMANTADO TURBO P/ CORTE DE GRANITO
GEREN04305	01	ADESIVO IMPRESSAO SERIGRAFICA E REC.ELETRONICO VINIL 5X5CM
GEREN04305	07	ADESIVO IMPRESSAO SERIGRAFICA E REC.ELETRONICO VINIL 5X5CM
GEREN04327	07	CAMARA DE PNEU P/ CARRO PLATAFORMA
GEREN04351	01	FITA ANTIDERRAPANTE
GEREN04351	07	FITA ANTIDERRAPANTE
GEREN04518	01	CHAVE PHILIPS 3/16X3
GEREN04518	07	CHAVE PHILIPS 3/16X3
GEREN04565	01	MASCARA C/ RESP
GEREN04565	07	MASCARA C/ RESP
GEREN04796	01	ESCOVA MANUAL C/ ALCA VERMELHO BRALIMPIA
GEREN04796	07	ESCOVA MANUAL C/ ALCA VERMELHO BRALIMPIA
GEREN04863	07	BATERIA TRACIONARIA 6V 115A MARCA TUDOR
GEREN04951	01	PLACA SUPORTE EM ALUMINIO
GEREN04951	07	PLACA SUPORTE EM ALUMINIO
GEREN04990	01	VASSOURA NYLON BETTANIN C/ CABO
GEREN04990	07	VASSOURA NYLON BETTANIN C/ CABO
GEREN05172	01	ADAPTADOR 2P+T
GEREN05172	07	ADAPTADOR 2P+T
GEREN05190	01	TOMADA 10A 250V
GEREN05190	07	TOMADA 10A 250V
GEREN05208	01	CANETA MARCADOR PARA QUADRO BRANCO COR VERDE
GEREN05208	07	CANETA MARCADOR PARA QUADRO BRANCO COR VERDE
GEREN05209	01	CANETA MARCADOR PARA QUADRO BRANCO COR VERMELHA
GEREN05209	07	CANETA MARCADOR PARA QUADRO BRANCO COR VERMELHA
GEREN05210	01	CANETA MARCADOR PARA QUADRO BRANCO COR PRETA
GEREN05210	07	CANETA MARCADOR PARA QUADRO BRANCO COR PRETA
GEREN05211	01	CANETA MARCADOR PARA QUADRO BRANCO COR AZUL
GEREN05211	07	CANETA MARCADOR PARA QUADRO BRANCO COR AZUL
GEREN05234	01	PA DE LIXO PLASTICA CABO LONGO REF. 151 SCCP PLASTGRAN
GEREN05234	07	PA DE LIXO PLASTICA CABO LONGO REF. 151 SCCP PLASTGRAN
GEREN05313	01	TORNEIRA LAVATORIO MESA MATIC ECO DECA
GEREN05313	07	TORNEIRA LAVATORIO MESA MATIC ECO DECA
GEREN05368	01	ARRUELA
GEREN05368	07	ARRUELA
GEREN05405	01	FITA DUPLA FACE
GEREN05405	07	FITA DUPLA FACE
GEREN05448	07	R1 CADERNO DE EXERCICIO - TESTE PSICOLOGICO
GEREN05468	01	GANCHO CROQUE
GEREN05468	07	GANCHO CROQUE
GEREN05496	01	PAPEL PARA FLIP CHART
GEREN05496	07	PAPEL PARA FLIP CHART
GEREN05572	07	LIXEIRA 20L C/ PEDAL
GEREN05682	01	LUVA SOLD TIGRE 25MM
GEREN05682	07	LUVA SOLD TIGRE 25MM
GEREN05683	07	JOELHO SOLDAVEL 20 X 1 2
GEREN05749	01	TERMINAL COMPRESSAO 25MM CONTER
GEREN05749	07	TERMINAL COMPRESSAO 25MM CONTER
GEREN05827	01	ESCOVA DE ACO CLEANER 500MM
GEREN05827	07	ESCOVA DE ACO CLEANER 500MM
GEREN06046	01	BOBINA
GEREN06046	07	BOBINA
GEREN06149	01	ALCOOL 5 LT ISOPROPILICO
GEREN06173	01	ROLO DE LA BAIXA 9CM
GEREN06173	07	ROLO DE LA BAIXA 9CM
GEREN06174	01	ROLO DE LA BAIXA 15CM
GEREN06174	07	ROLO DE LA BAIXA 15CM
GEREN06192	07	PRIMER MANTA ASFALTICA
GEREN06270	01	BARRA CHATA
GEREN06270	07	BARRA CHATA
GEREN06287	01	ENXADAO LARGO C/CABO
GEREN06287	10	ENXADAO LARGO C/CABO
GEREN06337	07	LIXA MASSA 120
GEREN06353	01	INSETICIDA
GEREN06353	07	INSETICIDA
GEREN06503	01	DESINFETANTE CONCENTRADO 5 LT
GEREN06503	07	DESINFETANTE CONCENTRADO 5 LT
GEREN06710	01	TOUCA LPZ AZUL C/ TELA PRETA TU
GEREN06710	07	TOUCA LPZ AZUL C/ TELA PRETA TU
GEREN06780	07	ROLO DE ESPUMA DE 5CM
GEREN06993	01	ESCOVA CARVAO MOTOR CC36V
GEREN06993	07	ESCOVA CARVAO MOTOR CC36V
GEREN07003	07	LUVA DE VAQUETA CA 19543
GEREN07018	01	TINTA PARA CARIMBO
GEREN07018	07	TINTA PARA CARIMBO
GEREN07382	01	BASE SELADORA ACRILICA - 5L RICCEL
GEREN07382	07	BASE SELADORA ACRILICA - 5L RICCEL
GEREN07385	01	DETERGENTE NEUTRO - 5L RICCEL
GEREN07385	07	DETERGENTE NEUTRO - 5L RICCEL
GEREN07571	01	SUPORTE PARA MONITOR
GEREN07571	07	SUPORTE PARA MONITOR
GEREN07686	01	COLA BASTAO 90 G
GEREN07686	07	COLA BASTAO 90 G
GEREN08015	01	LAPIS N 02
GEREN08015	07	LAPIS N 02
GEREN08101	01	ADESIVO DE CONTATO PARA FIXACAO
GEREN08101	07	ADESIVO DE CONTATO PARA FIXACAO
GEREN08340	01	MANUTENCAO EXTINTORES
GEREN08340	07	MANUTENCAO EXTINTORES
GEREN08412	01	PASTA SUSPENSA KRAFT
GEREN08412	07	PASTA SUSPENSA KRAFT
GEREN08431	07	FURADEIRA DE BANCADA C/MANDRIL 5/8  MOD. FBM160I
GEREN08610	01	ABRACADEIRA NYLON 10 CM
GEREN08610	07	ABRACADEIRA NYLON 10 CM
GEREN08612	01	LAMPADAS DE 250W VAPOR DE SODIO OSRAM 15
GEREN08612	07	LAMPADAS DE 250W VAPOR DE SODIO OSRAM 15
GEREN08667	01	EXAME MEDICO AUDIOMETRIA TONAL
GEREN08669	01	EXAME MEDICO AV. ENDOCRINOLOGISTA
GEREN08670	01	EXAME MEDICO AV. OFTALMOLOGICA
GEREN08674	01	EXAME MEDICO ORTOPEDISTA
GEREN08675	07	EXAME MEDICO AV. PSICOLOGICA
GEREN08677	01	EXAME MEDICO COLESTEROL TOTAL
GEREN08683	01	EXAME MEDICO FATOR RH
GEREN08684	01	EXAME MEDICO FOSFATASE ALCALINA
GEREN08691	01	EXAME MEDICO GLICEMIA
GEREN08691	07	EXAME MEDICO GLICEMIA
GEREN08693	01	EXAME MEDICO COLESTEROL HDL
GEREN08694	01	EXAME MEDICO HEMOGRAMA
GEREN08694	07	EXAME MEDICO HEMOGRAMA
GEREN08696	01	EXAME MEDICO COLESTEROL LDL
GEREN08701	01	EXAME MEDICO PARASITOLOGICO DE FEZES
GEREN08711	01	EXAME MEDICO SUMARIA URINA
GEREN08712	01	EXAME MEDICO TESTE ERGOMETRICO
GEREN08715	01	EXAME MEDICO TRIGLICERIDES
GEREN08718	01	EXAME MEDICO ULTRASOM DE ABDOMEN TOTAL
GEREN08726	01	EXAME MEDICO ACIDO URICO URINARIO
GEREN08923	07	REFEICAO CEIA
GEREN08934	01	ADESIVAGEM DE AUTOMOVEL
GEREN08955	01	REFEICAO REFRIGERANTE
GEREN08955	07	REFEICAO REFRIGERANTE
GEREN09072	01	REFEICAO MARMITEX
GEREN09072	07	REFEICAO MARMITEX
GEREN09152	01	EXAME MEDICO AUDIOMETRIA TONAL E VOCAL
GEREN09152	07	EXAME MEDICO AUDIOMETRIA TONAL E VOCAL
GEREN09214	01	SERVICOS GRAFICOS
GEREN09222	07	REFRIGERANTE 2L
GEREN09232	01	EXAME MEDICO AV. PSICOSSOCIAL
GEREN09237	01	EXAME MEDICO CONSULTA MEDICA
GEREN09286	01	INSETICIDA AEROSOL 300 ML SBP
GEREN09286	07	INSETICIDA AEROSOL 300 ML SBP
GEREN09297	01	DISCO DE SERRA
GEREN09297	07	DISCO DE SERRA
GEREN09343	01	TOMADA DE SOBREPOR STECK 32A 3 POLO 200/250V
GEREN09343	07	TOMADA DE SOBREPOR STECK 32A 3 POLO 200/250V
GEREN09407	01	BROCA ACO RAPIDO 12
GEREN09407	07	BROCA ACO RAPIDO 12
GEREN09465	01	SACOLA PLASTICA TRANSPARENTE BOBINA PICOTADA 40X60
GEREN09465	07	SACOLA PLASTICA TRANSPARENTE BOBINA PICOTADA 40X60
GEREN09466	01	SACOLA PLASTICA TRANSPARENTE BOBINA PICOTADA 50X70
GEREN09466	07	SACOLA PLASTICA TRANSPARENTE BOBINA PICOTADA 50X70
GEREN09542	01	CIMENTO
GEREN09542	07	CIMENTO
GEREN09658	01	TINTA ESMALTE AMARELA
GEREN09658	07	TINTA ESMALTE AMARELA
GEREN09674	01	ALICATE REBITADOR
GEREN09674	07	ALICATE REBITADOR
GEREN09741	01	ABRACADEIRA D CUNHA 3 POLEG.
GEREN09741	07	ABRACADEIRA D CUNHA 3 POLEG.
GEREN09762	01	TUBO GALVANIZADO 2
GEREN09762	07	TUBO GALVANIZADO 2
GEREN09784	01	EXAME MEDICO GAMA GT
GEREN09785	01	SABONETE LIQUIDO 5 LT
GEREN09785	07	SABONETE LIQUIDO 5 LT
GEREN09932	01	EXAME MEDICO FUNGOS (MICOLOGICO DE UNHA)
GEREN10098	01	PARAFUSO  6X25
GEREN10098	07	PARAFUSO  6X25
GEREN10108	01	TUBO DE ESGOTO 200MM X 6 M
GEREN10108	07	TUBO DE ESGOTO 200MM X 6 M
GEREN10115	01	JOELHO 90 PVC SOLDA 20 MM
GEREN10115	07	JOELHO 90 PVC SOLDA 20 MM
GEREN10175	01	LOCACAO DE IMOVEL - PF
GEREN10178	01	ANTENA CORTA PIPA
GEREN10178	06	ANTENA CORTA PIPA
GEREN10178	10	ANTENA CORTA PIPA
GEREN10223	01	ARRUELA LISA
GEREN10223	07	ARRUELA LISA
GEREN10224	01	PARAFUSO SEXTAVADO M8X1,25X
GEREN10224	07	PARAFUSO SEXTAVADO M8X1,25X
GEREN10245	01	CONECTOR UNIDUT CONICO ALUMINIO 2
GEREN10245	07	CONECTOR UNIDUT CONICO ALUMINIO 2
GEREN10312	01	PARAFUSO SEXTAVADO DE 5/16
GEREN10312	07	PARAFUSO SEXTAVADO DE 5/16
GEREN10313	01	PARAFUSO SEXTAVADO FLANGEADO 4,2X16
GEREN10313	07	PARAFUSO SEXTAVADO FLANGEADO 4,2X16
GEREN10387	07	TALABARTE BALASKA
GEREN10396	01	QUADRO BRANCO 120X150
GEREN10396	07	QUADRO BRANCO 120X150
GEREN10549	01	FITA ANCORAGEM COM 120CM (ESLINGA)
GEREN10606	01	TUBO PARA REDE HIDRAULICA
GEREN10606	07	TUBO PARA REDE HIDRAULICA
GEREN10706	01	EXAME MEDICO AV. NEUROLOGICA
GEREN10754	01	TORNEIRA PARA BEBEDOURO
GEREN10754	07	TORNEIRA PARA BEBEDOURO
GEREN10855	01	CAMERA DIGITAL
GEREN10855	07	CAMERA DIGITAL
