codmat	dscmat	codund_mda_mat	vlrult_cot	saldo_oper
90826	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 7,70-8,60MM 85X23MM	UN	3,68	898
90336	CONEC TERM CPR CB/BAR RT RLD ALUM 2F 10,30-11,00MM 160X32MM	UN	8,485	45
90337	CONEC TERM CPR CB/BAR RT RLD ALUM 2F 12,50-13,50MM 175X32MM	UN	15,4	16
90338	CONEC TERM CPR CB/BAR RT RLD ALUM 2F 15,30-16,90MM 180X38MM	UN	18,59	37
90333	CONEC TERM CPR CB/BAR RT RLD ALUM 2F 5,60-6,60MM 145X32MM	UN	7,41	15
90334	CONEC TERM CPR CB/BAR RT RLD ALUM 2F 6,60-7,50MM 145X32MM	UN	6,66	95
90335	CONEC TERM CPR CB/BAR RT RLD ALUM 2F 9,00-10,20MM 160X32MM	UN	7,255	7
90830	CONECT TERM ESTRANG CB/BAR ALUM 1F 36X14MM 5.80-6.00MM	UN	19,11	35
90340	CONECT TERM ESTRANG CB/BAR ALUM 1F 48X18MM 6.70-7.30MM	UN	19,62	90
90341	CONECT TERM ESTRANG CB/BAR ALUM 2F 106X22MM 9.00-9.70MM	UN	38,04	230
90344	CONECT TERM ESTRANG CB/BAR ALUM 2F 137X33MM 15.40-17.00MM	UN	67,88	31
92173	CONECTOR ATERR COMPRES COBRE CB/CB 10-25MM2 10-25MM2	UN	8,3226	92
90490	CONECTOR ATERR CUNHA COBRE CB/HST 16-25MM2 14,3MM	UN	15,185	546
90823	CONECTOR ATERR CUNHA COBRE CB/HST 25-35MM2 14,3MM	UN	15	22
90489	CONECTOR ATERR CUNHA TRANSV COBRE CB/HST 25-35MM2 14,3MM	UN	13,96	55
32880	CONECTOR CUNHA 70-70MM2 -COBRE	PC	31,6	1
90794	CONECTOR CUNHA ALUM CN-01 16,30-18,50/15,00-18,50MM AZL	UN	17,93	19
90796	CONECTOR CUNHA ALUM CN-02 15,24-17,37/11,68-17,37MM AZL	UN	15,805	120
90799	CONECTOR CUNHA ALUM CN-03 15,24-17,37/8,23-15,24MM AZL	UN	16,07	6
90793	CONECTOR CUNHA ALUM CN-04 15,24-17,37/6,55-14,27MM AZL	UN	17	263
90790	CONECTOR CUNHA ALUM CN-06 9,25-14,53/6,55-14,53MM AZL	UN	16,295	502
90791	CONECTOR CUNHA ALUM CN-10 8,23-14,53/4,11-11,79MM AZL	UN	16,325	640
90787	CONECTOR CUNHA ALUM CN-12 5,18-8,38/4,11-6,55MM VRM	UN	7,08	10
90797	CONECTOR CUNHA ALUM CN-13 6,55-10,11/5,18-8,38MM VRM	UN	6,775	593
90798	CONECTOR CUNHA ALUM CN-15 10,40-14,53/10,40-14,53MM AZL	UN	15,665	137
90795	CONECTOR CUNHA ALUM CN-16 16,90-18,30/11,80-14,31MM AZL	UN	16,64	54
90800	CONECTOR CUNHA ALUM CN-17 16,90-18,30/7,42-11,35MM AZL	UN	17,28	11
90806	CONECTOR CUNHA ALUM CN-18 16,90-18,30/4,66-6,35MM AZL	UN	16,8	6
90920	CONECTOR CUNHA COBR CNC-01 5.80-7.90/5.80-6.50MM VRM	UN	33,8	64
90922	CONECTOR CUNHA COBR CNC-03 8.50-9.50/7.10-7.90MM VRM	UN	31,65	3
90923	CONECTOR CUNHA COBR CNC-04 9.80-11.00/5.80-6.50MM AZL	UN	88,2	18
90924	CONECTOR CUNHA COBR CNC-05 9.80-15.30/7.10-11.00MM AZL	UN	84	6
90928	CONECTOR CUNHA COBR CNC-09 13.70-15.30/13.70-15.30MM AZL	UN	77,07	5
90930	CONECTOR CUNHA COBR CNC-11 15.30-17.20/7.10-7.90MM AZL	UN	101,04	3
90933	CONECTOR CUNHA COBR CNC-14 15.30-17.20/13.70-15.30MM AZL	UN	95,49	54
90934	CONECTOR CUNHA COBR CNC-15 15.30-17.20/15.30-17.20MM AZL	UN	92,87	12
90940	CONECTOR CUNHA COBR CNC-21 16.70-18.80/13.70-15.30MM AZL	UN	92,87	30
90942	CONECTOR CUNHA COBR CNC-23 16.70-18.80/16.70-18.80MM AZL	UN	88,7	6
90943	CONECTOR CUNHA COBR CNC-24 8.50-13.00/5.80-9.50MM AZL	UN	87,47	6
90479	CONECTOR DERIV COMPR ALUM H1 4,10-8,40MM/4,10-8,40MM	UN	2,66	594
90480	CONECTOR DERIV COMPR ALUM H2 6,40-8,40MM/4,10-8,40MM	UN	4,525	221
90481	CONECTOR DERIV COMPR ALUM H3 8,30-11,90MM/8,30-11,90MM	UN	7,63	72
90485	CONECTOR DERIV COMPR ALUM H7 13,20-21,80MM/4,10-11,40MM	UN	12,59	175
90587	CONECTOR DERIV PERF RDP CB/CB 15,0KV 70-185MM2/70-185MM2	PC	114,22	484
